machine,operation,15  per  12  seconds per unit,12  per  10  seconds per unit,10  per  8.5714  seconds per unit,8.5714  per  7.5  seconds per unit,7.5  per  6.6667  seconds per unit,6.6667  per  6  seconds per unit,6  per  5.4545  seconds per unit,5.4545  per  5  seconds per unit,5  per  4.6154  seconds per unit,4.6154  per  4.2857  seconds per unit,4.2857  per  4  seconds per unit,4  per  3.75  seconds per unit,3.75  per  3.5294  seconds per unit,3.5294  per  3.3333  seconds per unit,3.3333  per  3.1579  seconds per unit,3.1579  per  3  seconds per unit,3  per  2.8571  seconds per unit,2.8571  per  2.7273  seconds per unit,2.7273  per  2.6087  seconds per unit,2.6087  per  2.5  seconds per unit,2.5  per  2.4  seconds per unit,2.4  per  2.3077  seconds per unit,2.3077  per  2.2222  seconds per unit,2.2222  per  2.1429  seconds per unit,2.1429  per  2.069  seconds per unit,2.069  per  2  seconds per unit,2  per  1.9355  seconds per unit,1.9355  per  1.875  seconds per unit,1.875  per  1.8182  seconds per unit,1.8182  per  1.7647  seconds per unit,1.7647  per  1.7143  seconds per unit,1.7143  per  1.6667  seconds per unit,1.6667  per  1.6216  seconds per unit,1.6216  per  1.5789  seconds per unit,1.5789  per  1.5385  seconds per unit,1.5385  per  1.5  seconds per unit,1.5  per  1.4634  seconds per unit,1.4634  per  1.4286  seconds per unit,1.4286  per  1.3953  seconds per unit,1.3953  per  1.3636  seconds per unit,1.3636  per  1.3333  seconds per unit,1.3333  per  1.3043  seconds per unit,1.3043  per  1.2766  seconds per unit,1.2766  per  1.25  seconds per unit,1.25  per  1.2245  seconds per unit,1.2245  per  1.2  seconds per unit,1.2  per  1.1765  seconds per unit,1.1765  per  1.1538  seconds per unit,1.1538  per  1.1321  seconds per unit,1.1321  per  1.1111  seconds per unit,1.1111  per  1.0909  seconds per unit,1.0909  per  1.0714  seconds per unit,1.0714  per  1.0526  seconds per unit,1.0526  per  1.0345  seconds per unit,1.0345  per  1.0169  seconds per unit,1.0169  per  1  seconds per unit,1  per  0.9836  seconds per unit,0.9836  per  0.9677  seconds per unit,0.9677  per  0.9524  seconds per unit,0.9524  per  0.9375  seconds per unit,0.9375  per  0.9231  seconds per unit,0.9231  per  0.9091  seconds per unit,0.9091  per  0.8955  seconds per unit,0.8955  per  0.8824  seconds per unit,0.8824  per  0.8696  seconds per unit,0.8696  per  0.8571  seconds per unit,0.8571  per  0.8451  seconds per unit,0.8451  per  0.8333  seconds per unit,0.8333  per  0.8219  seconds per unit,0.8219  per  0.8108  seconds per unit,0.8108  per  0.8  seconds per unit,0.8  per  0.7895  seconds per unit,0.7895  per  0.7792  seconds per unit,0.7792  per  0.7692  seconds per unit,0.7692  per  0.7595  seconds per unit,0.7595  per  0.75  seconds per unit,0.75  per  0.7407  seconds per unit,0.7407  per  0.7317  seconds per unit,0.7317  per  0.7229  seconds per unit,0.7229  per  0.7143  seconds per unit,0.7143  per  0.7059  seconds per unit,0.7059  per  0.6977  seconds per unit,0.6977  per  0.6897  seconds per unit,0.6897  per  0.6818  seconds per unit,0.6818  per  0.6742  seconds per unit,0.6742  per  0.6667  seconds per unit,0.6667  per  0.6593  seconds per unit,0.6593  per  0.6522  seconds per unit,0.6522  per  0.6452  seconds per unit,0.6452  per  0.6383  seconds per unit,0.6383  per  0.6316  seconds per unit,0.6316  per  0.625  seconds per unit,0.625  per  0.6186  seconds per unit,0.6186  per  0.6122  seconds per unit,0.6122  per  0.6061  seconds per unit,0.6061  per  0.6  seconds per unit,0.6  per  0.5941  seconds per unit,0.5941  per  0.5882  seconds per unit,0.5882  per  0.5825  seconds per unit,0.5825  per  0.5769  seconds per unit,0.5769  per  0.5714  seconds per unit,0.5714  per  0.566  seconds per unit,0.566  per  0.5607  seconds per unit,0.5607  per  0.5556  seconds per unit,0.5556  per  0.5505  seconds per unit,0.5505  per  0.5455  seconds per unit,0.5455  per  0.5405  seconds per unit,0.5405  per  0.5357  seconds per unit,0.5357  per  0.531  seconds per unit,0.531  per  0.5263  seconds per unit,0.5263  per  0.5217  seconds per unit,0.5217  per  0.5172  seconds per unit,0.5172  per  0.5128  seconds per unit,0.5128  per  0.5085  seconds per unit,0.5085  per  0.5042  seconds per unit,0.5042  per  0.5  seconds per unit,0.5  per  0.4959  seconds per unit,0.4959  per  0.4918  seconds per unit,0.4918  per  0.4878  seconds per unit,0.4878  per  0.4839  seconds per unit,0.4839  per  0.48  seconds per unit,0.48  per  0.4762  seconds per unit,0.4762  per  0.4724  seconds per unit,0.4724  per  0.4688  seconds per unit,0.4688  per  0.4651  seconds per unit,0.4651  per  0.4615  seconds per unit,0.4615  per  0.458  seconds per unit,0.458  per  0.4545  seconds per unit,0.4545  per  0.4511  seconds per unit,0.4511  per  0.4478  seconds per unit,0.4478  per  0.4444  seconds per unit,0.4444  per  0.4412  seconds per unit,0.4412  per  0.438  seconds per unit,0.438  per  0.4348  seconds per unit,0.4348  per  0.4317  seconds per unit,0.4317  per  0.4286  seconds per unit,0.4286  per  0.4255  seconds per unit,0.4255  per  0.4225  seconds per unit,0.4225  per  0.4196  seconds per unit,0.4196  per  0.4167  seconds per unit,0.4167  per  0.4138  seconds per unit,0.4138  per  0.411  seconds per unit,0.411  per  0.4082  seconds per unit,0.4082  per  0.4054  seconds per unit,0.4054  per  0.4027  seconds per unit,0.4027  per  0.4  seconds per unit,0.4  per  0.3974  seconds per unit,0.3974  per  0.3947  seconds per unit,0.3947  per  0.3922  seconds per unit,0.3922  per  0.3896  seconds per unit,0.3896  per  0.3871  seconds per unit,0.3871  per  0.3846  seconds per unit,0.3846  per  0.3822  seconds per unit,0.3822  per  0.3797  seconds per unit,0.3797  per  0.3774  seconds per unit,0.3774  per  0.375  seconds per unit,0.375  per  0.3727  seconds per unit,0.3727  per  0.3704  seconds per unit,0.3704  per  0.3681  seconds per unit,0.3681  per  0.3659  seconds per unit,0.3659  per  0.3636  seconds per unit,0.3636  per  0.3614  seconds per unit,0.3614  per  0.3593  seconds per unit,0.3593  per  0.3571  seconds per unit,0.3571  per  0.355  seconds per unit,0.355  per  0.3529  seconds per unit,0.3529  per  0.3509  seconds per unit,0.3509  per  0.3488  seconds per unit,0.3488  per  0.3468  seconds per unit,0.3468  per  0.3448  seconds per unit,0.3448  per  0.3429  seconds per unit,0.3429  per  0.3409  seconds per unit,0.3409  per  0.339  seconds per unit,0.339  per  0.3371  seconds per unit,0.3371  per  0.3352  seconds per unit
1460,83989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0009,0.0003,0.0005,0.0003,0.0004,0.0005,0.0006,0.0005,0.0006,0.0005,0.0004,0.0003,0.0003,0.0004,0.0008,0.0006,0.0004,0.0003,0.001,0.0004,0.0003,0.001,0.0002,0.0,0.001,0.0002,0.0005,0.001,0.0002,0.0002,0.0005,0.0008,0.0003,0.0008,0.0006,0.0008,0.0008,0.0002,0.0003,0.0006,0.0006,0.0005,0.0019,0.0008,0.0015,0.0004,0.0003,0.0003,0.0004,0.0004,0.0008,0.0016,0.0008,0.0011,0.0006,0.0009,0.0003,0.0012,0.0037,0.0037,0.0075,0.1037,0.3197,0.3638,0.0865,0.0621,0.0039,0.003,0.0012,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0
1460,120400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0005,0.0004,0.0002,0.0002,0.0004,0.0004,0.0001,0.0006,0.0003,0.0004,0.0002,0.0003,0.0001,0.0002,0.0006,0.0002,0.0005,0.0002,0.0001,0.0002,0.0003,0.0002,0.0002,0.0004,0.0003,0.0004,0.0003,0.0002,0.0002,0.0004,0.0005,0.0003,0.0004,0.0003,0.0004,0.0003,0.0004,0.0005,0.0006,0.0004,0.0003,0.0007,0.0003,0.0002,0.0004,0.0002,0.0004,0.0004,0.0004,0.0001,0.0003,0.0003,0.0003,0.0002,0.0004,0.0003,0.0077,0.0185,0.0274,0.0336,0.0679,0.2155,0.3311,0.1209,0.0791,0.0192,0.0263,0.0146,0.0113,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,21198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0001,0.0004,0.0005,0.0003,0.0002,0.0003,0.0001,0.0002,0.0004,0.0001,0.0005,0.0003,0.0001,0.0004,0.0002,0.0003,0.0008,0.0005,0.0004,0.0002,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0057,0.0007,0.0006,0.0004,0.0002,0.0008,0.0006,0.0002,0.0003,0.0008,0.0006,0.0005,0.0003,0.0003,0.0003,0.0008,0.0014,0.0028,0.0066,0.0164,0.0447,0.0107,0.0041,0.001,0.0073,0.0096,0.0109,0.0122,0.0812,0.2649,0.34,0.0615,0.065,0.0087,0.0102,0.0085,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,57761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0007,0.0003,0.0004,0.0003,0.0004,0.0006,0.0009,0.0002,0.0007,0.0008,0.0007,0.0004,0.0004,0.0004,0.0007,0.0003,0.0001,0.0003,0.0004,0.0005,0.0005,0.0004,0.0006,0.0012,0.0004,0.0004,0.0002,0.0004,0.0005,0.0002,0.0008,0.0004,0.0004,0.0013,0.0003,0.0005,0.0005,0.0006,0.0005,0.0014,0.0037,0.0033,0.0865,0.1828,0.0344,0.004,0.0032,0.0016,0.0015,0.0007,0.0008,0.0072,0.0173,0.0397,0.0116,0.0025,0.001,0.001,0.0018,0.0022,0.003,0.0449,0.196,0.2522,0.0381,0.0274,0.0018,0.002,0.0021,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,22756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0002,0.0002,0.0005,0.0002,0.0002,0.0005,0.0,0.0002,0.0008,0.0005,0.0,0.0008,0.0008,0.0008,0.0005,0.0008,0.0005,0.0005,0.0002,0.0,0.0,0.001,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0002,0.0005,0.0002,0.0005,0.001,0.0002,0.0008,0.0,0.0002,0.0005,0.0005,0.0008,0.0002,0.0005,0.0005,0.0002,0.0,0.0002,0.0002,0.0005,0.0008,0.0008,0.0008,0.0021,0.0024,0.0,0.0005,0.0005,0.0045,0.0069,0.0077,0.0106,0.1163,0.3171,0.3404,0.0813,0.0615,0.0077,0.008,0.0048,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
1460,88234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0003,0.0004,0.0003,0.0005,0.0006,0.0003,0.0003,0.0002,0.0005,0.0004,0.0002,0.0004,0.0005,0.0002,0.0006,0.0006,0.0004,0.0008,0.0002,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0002,0.0004,0.0004,0.0001,0.0004,0.0004,0.0006,0.0006,0.0011,0.0005,0.0007,0.0006,0.0008,0.0008,0.001,0.0006,0.0003,0.0013,0.001,0.0006,0.0004,0.0005,0.0002,0.0017,0.006,0.009000000000000001,0.0494,0.1277,0.2261,0.0916,0.0366,0.022000000000000002,0.1535,0.1127,0.0795,0.0282,0.0099,0.0087,0.0059,0.0018,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,83668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0003,0.0001,0.0003,0.0002,0.0002,0.0003,0.0003,0.0004,0.0003,0.0003,0.0003,0.0002,0.0003,0.0006,0.0003,0.0004,0.0003,0.0003,0.0004,0.0004,0.0002,0.0004,0.0003,0.0004,0.0003,0.0004,0.0004,0.0003,0.0006,0.0015,0.0004,0.0005,0.0005,0.0003,0.0003,0.0001,0.0002,0.0005,0.0003,0.0005,0.0004,0.0003,0.0003,0.0009,0.0004,0.0005,0.0008,0.0003,0.0006,0.0034,0.0075,0.0148,0.0784,0.1631,0.278,0.1833,0.0752,0.0079,0.0097,0.0056,0.0044,0.0031,0.0036,0.0285,0.0618,0.0167,0.0209,0.0014,0.003,0.0026,0.0021,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,17316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.0007,0.0011,0.0002,0.0001,0.0006,0.0003,0.0005,0.0014,0.0003,0.0005,0.0,0.0007,0.0001,0.0003,0.0008,0.0005,0.0002,0.0005,0.0003,0.0006,0.0007,0.0005,0.0034,0.0006,0.0001,0.0003,0.0005,0.0003,0.0,0.0006,0.0003,0.0005,0.0015,0.0005,0.0003,0.0007,0.0011,0.0008,0.0015,0.0006,0.0012,0.0017,0.0014,0.0008,0.0008,0.0008,0.0011,0.001,0.0007,0.0008,0.001,0.0014,0.0048,0.0057,0.0019,0.0007,0.0098,0.0214,0.0277,0.032,0.0636,0.2339,0.3162,0.083,0.0687,0.0251,0.0247,0.0254,0.0098,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,35280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0008,0.0,0.0008,0.0004,0.0,0.0012,0.0,0.0004,0.0,0.0004,0.0004,0.0008,0.0,0.0008,0.0021,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0021,0.0004,0.0,0.0004,0.0004,0.0004,0.0,0.0012,0.0008,0.0,0.0004,0.0,0.0012,0.0004,0.0008,0.0004,0.0008,0.0004,0.0,0.0012,0.0004,0.0008,0.0008,0.0021,0.0017,0.0029,0.0025,0.0012,0.0004,0.0004,0.0004,0.0008,0.0004,0.0004,0.0008,0.0,0.0012,0.0102,0.0804,0.3004,0.4344,0.0791,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,105350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0002,0.0008,0.0008,0.0013,0.0,0.0002,0.0008,0.0004,0.0011,0.0008,0.0006,0.0006,0.0,0.0,0.0,0.0011,0.0002,0.0006,0.0002,0.0008,0.0004,0.0004,0.0002,0.0002,0.0002,0.0006,0.0,0.0006,0.0006,0.0004,0.0006,0.0006,0.0013,0.0006,0.0002,0.0008,0.0,0.0004,0.0006,0.0006,0.0004,0.0004,0.0002,0.0,0.0004,0.0,0.0006,0.0004,0.0002,0.0006,0.0006,0.0006,0.0006,0.0006,0.0004,0.0,0.0004,0.0028,0.0006,0.0004,0.0006,0.0011,0.0002,0.0002,0.0006,0.0015,0.0024,0.0033,0.002,0.0102,0.0122,0.0465,0.1319,0.0754,0.0253,0.0767,0.20800000000000002,0.214,0.0663,0.0716,0.006,0.0017,0.0037,0.0013,0.0008,0.0011,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,132651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0001,0.0003,0.0002,0.0003,0.0001,0.0005,0.0002,0.0003,0.0002,0.0001,0.0007,0.0002,0.0004,0.0005,0.0,0.0004,0.0002,0.0001,0.0006,0.0001,0.0001,0.0001,0.0002,0.0003,0.0,0.0001,0.0005,0.0003,0.0005,0.0002,0.0004,0.0004,0.0002,0.0,0.0006,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.0001,0.0003,0.0006,0.0006,0.0004,0.0006,0.0004,0.0001,0.0014,0.0024,0.0032,0.0719,0.1454,0.2191,0.0841,0.0165,0.0111,0.1427,0.1361,0.0993,0.0409,0.0021,0.003,0.0019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,35035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0002,0.0004,0.0002,0.0002,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0007,0.0004,0.0,0.0004,0.0004,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0007,0.0,0.0004,0.0009,0.0,0.0002,0.0004,0.0004,0.0,0.0002,0.0002,0.0,0.0,0.0011,0.0007,0.0002,0.0002,0.0,0.0007,0.0,0.0,0.0007,0.0002,0.0007,0.0002,0.0,0.0,0.0002,0.0081,0.0131,0.0348,0.0961,0.1863,0.3777,0.1629,0.0524,0.0245,0.0186,0.01,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,62512,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0002,0.0002,0.0005,0.0,0.0,0.0005,0.0005,0.0007,0.0,0.0007,0.0002,0.0005,0.0002,0.0,0.0,0.0002,0.0005,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,0.0005,0.0005,0.0005,0.001,0.001,0.0007,0.0005,0.0007,0.0018,0.002,0.0002,0.0002,0.0023,0.002,0.0012,0.0025,0.0005,0.0007,0.0002,0.0002,0.001,0.0,0.0031,0.0015,0.0015,0.0012,0.0005,0.0005,0.002,0.0072,0.017,0.0178,0.0838,0.2295,0.1022,0.0833,0.0346,0.1915,0.1322,0.0597,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
